name,mentions,name_pos,cap_ratio,first_pct,status,comment_mentions
Уточнить,56,False,0.71,11.2,never_mentioned,0
Валленштейн,56,True,1.0,0.7,never_mentioned,0
Эрик,56,True,1.0,0.4,mentioned_not_guessed,6
Русс,56,False,1.0,0.7,mentioned_not_guessed,5
Бранвено,55,False,1.0,0.4,mentioned_not_guessed,33
Лок,55,False,1.0,0.4,never_mentioned,0
Голд,54,False,1.0,0.7,mentioned_not_guessed,3
Мясник,54,False,0.96,0.1,mentioned_not_guessed,2
Король-воин,54,False,1.0,1.2,mentioned_not_guessed,8
Жоном,51,False,1.0,2.7,mentioned_not_guessed,13
Кроу,51,True,1.0,0.4,eliminated,17
Крикнуть,51,False,0.69,2.2,never_mentioned,0
Революция,51,False,0.98,1.3,never_mentioned,0
Астр,50,True,0.98,0.4,never_mentioned,0
Иксор,49,False,1.0,0.5,eliminated,6
Сильван,48,False,1.0,0.6,never_mentioned,0
Филипп,48,True,1.0,0.5,mentioned_not_guessed,1
Поинтересоваться,48,False,0.67,6.0,never_mentioned,0
Лупёрка,47,False,1.0,21.1,mentioned_not_guessed,2
Извинить,47,False,0.71,3.6,mentioned_not_guessed,3
Святой,47,False,0.63,0.8,never_mentioned,0
Легион,46,False,0.73,1.4,mentioned_not_guessed,13
Нода,46,False,1.0,0.3,never_mentioned,0
Вульф,45,True,1.0,0.4,never_mentioned,0
Майра,45,False,1.0,0.1,never_mentioned,0
Пижма,45,False,1.0,0.7,mentioned_not_guessed,1
Посвящение,45,False,0.98,0.5,never_mentioned,0
Патч,44,False,1.0,0.1,mentioned_not_guessed,3
Ага,44,False,0.77,2.5,mentioned_not_guessed,2
Гленко,44,True,1.0,41.2,never_mentioned,0
Кайоша,44,False,1.0,0.3,never_mentioned,0
Милость,44,False,0.81,42.1,mentioned_not_guessed,5
Юстас,43,True,1.0,0.4,mentioned_not_guessed,2
Церковь,43,False,0.61,0.8,never_mentioned,0
Бранвена,42,False,1.0,0.4,mentioned_not_guessed,10
Тор,42,False,1.0,0.7,mentioned_not_guessed,2
Копа,42,False,1.0,0.7,mentioned_not_guessed,6
Дюрана,41,False,1.0,0.3,mentioned_not_guessed,4
Лао,41,False,1.0,0.4,mentioned_not_guessed,2
Хейвена,41,False,1.0,1.3,never_mentioned,0
Росит,41,False,1.0,0.6,mentioned_not_guessed,2
Менаджери,40,False,1.0,4.8,mentioned_not_guessed,7
Аис,40,True,1.0,0.7,never_mentioned,0
Валуа,39,True,1.0,0.4,live_guess,13
Ханако,39,True,1.0,0.3,never_mentioned,0
Линь,39,False,1.0,0.4,never_mentioned,0
Громобой,39,False,1.0,21.1,never_mentioned,0
Озм,38,False,1.0,26.4,eliminated,48
Озлюминать,38,False,1.0,1.2,mentioned_not_guessed,17
Где-то,37,False,1.0,3.9,mentioned_not_guessed,3
Паладин,37,False,0.64,51.7,never_mentioned,0
Аргилак,37,False,1.0,1.3,mentioned_not_guessed,1
Бранвен,37,True,1.0,10.4,mentioned_not_guessed,5
Паук,37,False,0.77,0.6,eliminated,2
Маршалл,36,True,1.0,24.6,mentioned_not_guessed,7
Гильдия,36,False,0.95,13.3,never_mentioned,0
Примечание,35,False,0.83,0.6,never_mentioned,0
Империя,35,False,0.7,0.7,never_mentioned,0
Нептун,35,True,1.0,0.3,never_mentioned,0
Сильвер,34,True,1.0,0.5,eliminated,1
Камбер,34,False,1.0,0.3,mentioned_not_guessed,2
Айрон,34,True,1.0,0.4,never_mentioned,0
Ами,34,True,1.0,0.7,mentioned_not_guessed,3
Госпожа,33,False,0.87,0.6,mentioned_not_guessed,1
Кожеед,33,False,1.0,0.9,never_mentioned,0
Блейк,32,False,1.0,0.4,eliminated,11
Закричать,32,False,0.62,4.8,never_mentioned,0
Розалия,32,True,1.0,0.7,never_mentioned,0
Тюрби,32,True,1.0,34.9,never_mentioned,0
Рудея,31,True,0.94,0.7,mentioned_not_guessed,15
Шейд,31,False,1.0,0.4,never_mentioned,0
Улыбчивый,31,False,0.78,0.1,mentioned_not_guessed,7
Андриаполь,31,False,1.0,5.6,never_mentioned,0
Жак,31,True,1.0,0.5,mentioned_not_guessed,2
Аран,31,True,1.0,0.6,never_mentioned,0
Старуха,31,False,0.63,1.4,mentioned_not_guessed,32
Верховный,31,False,0.86,0.2,mentioned_not_guessed,2
Амьен,31,False,1.0,0.3,mentioned_not_guessed,2
Ансельма,30,True,1.0,0.2,mentioned_not_guessed,2
Тигриный,30,False,0.67,1.0,mentioned_not_guessed,4
Рейвено,30,False,1.0,0.4,mentioned_not_guessed,6
Рокса,30,False,1.0,18.9,mentioned_not_guessed,5
Бланша,30,True,1.0,0.7,mentioned_not_guessed,1
Салем,29,False,1.0,0.2,eliminated,66
Семя,29,False,0.91,1.4,mentioned_not_guessed,4
Арквильский,29,False,0.66,25.9,never_mentioned,0
Робен,29,True,1.0,0.4,never_mentioned,0
Урс,29,True,1.0,9.2,mentioned_not_guessed,5
Милорд,28,False,0.82,1.4,mentioned_not_guessed,7
Мортис,28,False,1.0,0.6,never_mentioned,0
Некромант,28,False,0.97,1.3,mentioned_not_guessed,5
Магнолия,28,False,1.0,0.5,never_mentioned,0
Ангел,28,False,0.85,13.6,never_mentioned,0
Солитас,28,True,1.0,0.7,mentioned_not_guessed,5
Освободитель,27,False,1.0,0.1,mentioned_not_guessed,12
Эллисон,27,True,1.0,0.7,never_mentioned,0
Горький,27,True,0.44,1.4,mentioned_not_guessed,7
Пьяница,27,False,1.0,0.2,mentioned_not_guessed,11
Алтана,27,True,1.0,0.4,never_mentioned,0
Злобоглазый,26,False,1.0,1.4,mentioned_not_guessed,9
Всезнайка,26,False,1.0,20.7,mentioned_not_guessed,1
Чума,26,False,0.84,0.2,mentioned_not_guessed,6
Блеквелла,26,True,1.0,0.7,never_mentioned,0
Клод,25,True,1.0,0.2,never_mentioned,0
Аяна,25,True,1.0,0.3,never_mentioned,0
Орион,25,True,1.0,0.7,mentioned_not_guessed,1
Керри,25,True,1.0,0.6,never_mentioned,0
Брум,25,False,1.0,0.5,mentioned_not_guessed,2
Жаль,25,False,0.61,19.5,mentioned_not_guessed,4
Хич,25,False,1.0,0.6,never_mentioned,0
Погибель,25,False,0.83,1.0,mentioned_not_guessed,8
Титан,25,False,0.81,0.3,never_mentioned,0
Ублёкнуть,24,False,1.0,0.6,mentioned_not_guessed,2
Воскликнуть,24,False,0.69,4.1,never_mentioned,0
Аой,24,False,1.0,0.4,never_mentioned,0
Вилли,24,True,1.0,0.7,never_mentioned,0
Понятно,24,False,0.63,16.7,never_mentioned,0
Хейвено,24,False,1.0,0.3,mentioned_not_guessed,1
Дворец,24,False,0.63,21.6,mentioned_not_guessed,2
Ублек,23,False,1.0,19.4,mentioned_not_guessed,1
Лоран,23,True,1.0,0.3,never_mentioned,0
Белладонна,23,False,1.0,0.4,eliminated,2
Корало,23,False,1.0,0.7,never_mentioned,0
Анить,23,False,1.0,0.8,mentioned_not_guessed,1
Вента-си,23,False,1.0,1.2,mentioned_not_guessed,1
Фулкс,23,False,1.0,0.4,never_mentioned,0
Манхилёд,23,False,1.0,17.4,never_mentioned,0
Омар,23,True,1.0,0.5,mentioned_not_guessed,1
Возмутиться,23,False,0.7,18.5,never_mentioned,0
Промышленный,23,False,0.74,0.4,never_mentioned,0
Ахилл,23,True,1.0,41.4,never_mentioned,0
Сановник,22,False,0.96,0.5,never_mentioned,0
Воронья,22,False,0.88,0.4,never_mentioned,0
Степь,22,False,0.85,0.4,mentioned_not_guessed,2
Лицожевать,22,False,1.0,3.2,never_mentioned,0
Айронвуд,22,False,1.0,0.5,mentioned_not_guessed,11
Иссоп,22,False,1.0,0.5,eliminated,12
Повар,22,False,0.79,53.6,never_mentioned,0
Заря,22,False,0.73,53.7,never_mentioned,0
Фенг,21,False,1.0,0.3,mentioned_not_guessed,1
Божоля,21,True,1.0,0.5,never_mentioned,0
Дитя,21,False,0.6,1.5,never_mentioned,0
Люмен,21,False,1.0,98.7,mentioned_not_guessed,1
Королева,20,False,0.69,1.4,mentioned_not_guessed,17
Шимон,20,True,1.0,0.5,mentioned_not_guessed,3
Роджер,20,True,1.0,0.5,never_mentioned,0
Гай,20,True,1.0,24.2,never_mentioned,0
Кнап,20,False,1.0,0.7,never_mentioned,0
Инквизитор,20,False,0.71,0.9,mentioned_not_guessed,2
Университет,20,False,1.0,0.4,mentioned_not_guessed,1
Морген,20,False,1.0,0.1,eliminated,27
Таурусый,20,False,1.0,0.4,mentioned_not_guessed,1
Богиня,20,False,0.87,0.2,never_mentioned,0
Цутигумо,19,False,1.0,12.9,never_mentioned,0
Жибер,19,False,1.0,0.4,mentioned_not_guessed,1
Заорать,19,False,0.61,6.2,never_mentioned,0
Винтёр,19,False,1.0,0.5,eliminated,6
Кай,19,True,1.0,59.8,mentioned_not_guessed,3
Сегментат,19,False,1.0,59.8,mentioned_not_guessed,2
Тракт,19,False,0.95,3.8,never_mentioned,0
Увы,19,False,0.66,11.5,mentioned_not_guessed,10
Лютик,19,False,0.95,0.7,never_mentioned,0
Проповедник,18,False,0.69,0.8,mentioned_not_guessed,3
Мантля,18,False,1.0,14.4,mentioned_not_guessed,3
Сольттер,18,False,1.0,49.2,never_mentioned,0
Ромул,18,True,1.0,1.0,never_mentioned,0
Вальдис,18,False,1.0,0.4,never_mentioned,0
Сакура,18,False,0.82,7.5,never_mentioned,0
Адриан,18,True,1.0,0.1,never_mentioned,0
Синанна,18,True,1.0,0.7,never_mentioned,0
Флавий,18,True,1.0,0.4,never_mentioned,0
Гарольд,18,True,1.0,0.2,mentioned_not_guessed,4
Блэквелла,18,True,1.0,21.3,never_mentioned,0
Зато,18,False,0.67,6.3,mentioned_not_guessed,4
Жалость,18,False,0.64,19.3,eliminated,0
Голиаф,18,False,1.0,9.9,never_mentioned,0
Юзман,18,True,1.0,0.7,never_mentioned,0
Рокк,18,False,1.0,0.7,never_mentioned,0
Всё-таки,18,False,1.0,5.9,mentioned_not_guessed,1
Бранан,17,True,1.0,0.4,mentioned_not_guessed,1
Тибор,17,True,1.0,0.2,mentioned_not_guessed,1
Риддло,17,False,1.0,0.5,mentioned_not_guessed,2
Одрия,17,False,1.0,0.9,never_mentioned,0
