name,mentions,commenters,author_mentions,name_pos,cap_ratio,first_seen,last_seen,samples
Бастион,1,1,0,False,1.0,2026-06-03,2026-06-03,"[41372541] Бастионы непонимания, Одиночество, боль и усталость, Обжигающий беспродный ветер, Мираж в раскалённых пустынях."
Обжигать,1,1,0,False,1.0,2026-06-03,2026-06-03,"[41372541] Бастионы непонимания, Одиночество, боль и усталость, Обжигающий беспродный ветер, Мираж в раскалённых пустынях."
Мираж,1,1,0,False,1.0,2026-06-03,2026-06-03,"[41372541] Бастионы непонимания, Одиночество, боль и усталость, Обжигающий беспродный ветер, Мираж в раскалённых пустынях."
Искупить,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Метафизически,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Направо,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Подсадить,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Подставлять,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Терпеливо,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Атлетский,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Допеть,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Захмелеть,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Поливать,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Атлетскай,1,1,0,False,1.0,2026-06-03,2026-06-03,[41367903] Искупить своё / чужое отсутствие проды Метафизически относительно дорогой ценой Так зажмурим отважные очи И распялим пошире рты Направо и налево Ведь это всё за
Заблудиться,1,1,0,False,1.0,2026-06-03,2026-06-03,"[41366853] Ничто из того, что было написано, не Было существенным: мы на безпродной стороне; Отсутствие проды в шинкаревском пейзаже, Неважно куда, важно – все равно мимо "
Образцовый,1,1,0,False,1.0,2026-06-03,2026-06-03,"[41366853] Ничто из того, что было написано, не Было существенным: мы на безпродной стороне; Отсутствие проды в шинкаревском пейзаже, Неважно куда, важно – все равно мимо "
Галери,1,1,0,True,1.0,2026-06-03,2026-06-03,"[41366853] Ничто из того, что было написано, не Было существенным: мы на безпродной стороне; Отсутствие проды в шинкаревском пейзаже, Неважно куда, важно – все равно мимо "
Лафайет,1,1,0,False,1.0,2026-06-03,2026-06-03,"[41366853] Ничто из того, что было написано, не Было существенным: мы на безпродной стороне; Отсутствие проды в шинкаревском пейзаже, Неважно куда, важно – все равно мимо "
Млечный,1,1,0,False,1.0,2026-06-03,2026-06-03,"[41366853] Ничто из того, что было написано, не Было существенным: мы на безпродной стороне; Отсутствие проды в шинкаревском пейзаже, Неважно куда, важно – все равно мимо "
Вычёткий,1,1,0,False,1.0,2026-06-02,2026-06-02,[41354880] Вычетка прошла?
Мемодел,1,1,0,False,1.0,2026-06-01,2026-06-01,"[41334263] моя борьба за проду Прода наныта, Прошёл уже май. Все гои сгорели, Мемоделы спились. Атлет провернулся И дальше лежит. Сладко он спит А цикады кричат: ""Проды, н"
Сладко,1,1,0,False,1.0,2026-06-01,2026-06-01,"[41334263] моя борьба за проду Прода наныта, Прошёл уже май. Все гои сгорели, Мемоделы спились. Атлет провернулся И дальше лежит. Сладко он спит А цикады кричат: ""Проды, н"
Тобыть,1,1,0,False,1.0,2026-06-01,2026-06-01,"[41328654] Шизотеория: проявление Арка является гирей для количества ауры Арка. Оно же пассивное, а любое проявление жрет ауру, а это на постоянке, причем жрет оно наверно"
Пролом,1,1,0,False,1.0,2026-06-01,2026-06-01,"[41319275] Типичный политик после Пролома, чтобы поднять рейтинг поддержки: ""Фу, грязные фавнолюбы и сторонники Белого Клыка! С помощью таких методов террористы получают ф"
Триединый,1,1,0,False,1.0,2026-05-31,2026-05-31,[41295955] Жизнь прекрасна Падет Весна Триединая прибудет Ожидания миг.
Переворот,1,1,0,False,1.0,2026-05-31,2026-05-31,"[41291365] Переворот в Атласе и приход к власти фанатиков церкви Братьев, которыми из-за кулис управляют культисты. Ненависть к фавнам выходит на новый уровень и происходя"
Ненависть,1,1,0,False,1.0,2026-05-31,2026-05-31,"[41291365] Переворот в Атласе и приход к власти фанатиков церкви Братьев, которыми из-за кулис управляют культисты. Ненависть к фавнам выходит на новый уровень и происходя"
Смута,1,1,0,False,1.0,2026-05-31,2026-05-31,"[41291365] Переворот в Атласе и приход к власти фанатиков церкви Братьев, которыми из-за кулис управляют культисты. Ненависть к фавнам выходит на новый уровень и происходя"
Учих,1,1,0,False,1.0,2026-05-31,2026-05-31,"[41288485] Во-первых, Адам должен Сафрон, а не Жасмин. Во-вторых, тогда старшее поколение Бранвенов уехало в Вейл,  чтобы бить аналог европейцев, но не получилось. Так все"
Дерзить,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Гасить,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Точнее,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Локоть,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Ого,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Блондинка,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Неловко,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Вдалеке,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
Тревожный,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41282412] Ну-с, писал с другом текст для ивентов. И как-то разогнались... В общем, первоапрельский омак: P.S. Не судите строго, в первый раз писали. Нору писать было весе"
